City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Colimes,EC,-1.55,-80.0167,82.58,51,54,3.83
112,Baglung,NP,28.2719,83.5898,59.18,92,76,0.89
113,Ishinomaki,JP,38.4167,141.3,46.4,75,100,3.76
114,Consuegra,ES,39.4625,-3.608,63.75,90,100,24.18
115,Killybegs,IE,54.6333,-8.45,46.45,81,96,17.52
116,Ilulissat,GL,69.2167,-51.1,37.42,60,20,17.27
117,Eyl,SO,7.9803,49.8164,77.41,79,85,10.27
118,Alofi,NU,-19.0595,-169.9187,78.69,69,100,12.66
119,Jiaojiang,CN,28.6803,121.4428,55.99,83,0,5.03
120,Kendari,ID,-3.945,122.4989,77.0,90,50,2.73
121,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,20,3.44
122,Lata,PT,40.1629,-8.3327,67.93,98,100,6.24
123,Uray,RU,60.1247,64.7758,16.57,97,77,4.65
124,Kensington,AU,-33.9167,151.2167,68.0,51,0,4.61
125,Tezu,IN,27.9167,96.1667,64.99,52,45,3.67
126,Taltal,CL,-25.4,-70.4833,64.24,66,22,3.04
127,Lorengau,PG,-2.0226,147.2712,83.19,79,93,7.85
128,Yulara,AU,-25.2406,130.9889,58.84,88,100,8.05
129,Sulangan,PH,11.1373,123.7228,82.78,75,67,22.1
130,Kashirskoye,RU,51.4194,39.6125,39.42,84,2,5.41
131,Torbay,CA,47.6666,-52.7314,40.75,81,1,4.61
132,Srednekolymsk,RU,67.45,153.6833,-4.4,96,100,6.13
133,Buraydah,SA,26.326,43.975,73.85,37,0,10.07
134,Bijar,IR,35.8668,47.6051,52.65,56,99,8.75
135,Guerrero Negro,MX,27.9769,-114.0611,73.04,57,0,13.35
136,Gat,IL,31.61,34.7642,72.39,64,71,1.72
137,Mago,RU,53.2514,140.1822,26.49,68,37,5.93
138,Nambucca Heads,AU,-30.65,153.0,64.4,77,99,9.86
139,Hokitika,NZ,-42.7167,170.9667,54.9,79,46,15.68
140,Tigil,RU,57.8,158.6667,28.92,97,100,3.11
141,Kunming,CN,25.0389,102.7183,55.33,94,75,11.18
142,Egvekinot,RU,66.3167,-179.1667,2.89,91,100,9.93
143,Cidreira,BR,-30.1811,-50.2056,67.91,88,31,22.5
144,Labuhan,ID,-6.8844,112.2051,80.37,81,92,4.43
145,Palaiokomi,GR,40.8667,23.9,54.68,73,0,2.15
146,Shimoda,JP,34.6667,138.95,62.71,80,100,9.31
147,Upernavik,GL,72.7868,-56.1549,28.13,62,100,11.95
148,Narsaq,GL,60.9167,-46.05,28.62,71,95,4.32
149,Fairbanks,US,64.8378,-147.7164,43.14,63,1,11.5
150,Mar Del Plata,AR,-38.0023,-57.5575,59.09,83,75,3.0
151,Touros,BR,-5.1989,-35.4608,79.7,78,53,15.55
152,Broome,US,42.2506,-75.833,55.65,83,90,1.01
153,Ponta Do Sol,PT,32.6667,-17.1,71.71,73,40,6.51
154,Bluff,NZ,-46.6,168.3333,50.59,89,96,29.42
155,Pisco,PE,-13.7,-76.2167,66.25,77,20,6.91
156,Virginia Beach,US,36.8529,-75.978,64.45,69,75,5.75
157,Akyab,MM,20.15,92.9,77.13,84,59,4.03
158,Puerto Ayora,EC,-0.7393,-90.3518,78.76,84,95,8.59
159,Yangjiang,CN,21.85,111.9667,69.13,84,97,6.8
160,Mao,ES,39.8885,4.2658,70.36,88,75,5.75
161,Faanui,PF,-16.4833,-151.75,78.13,69,15,15.43
162,Sambava,MG,-14.2667,50.1667,74.23,86,87,7.76
163,Ossora,RU,59.2353,163.0719,20.07,90,97,6.15
164,Okhotsk,RU,59.3833,143.3,11.17,70,14,23.69
165,Evensk,RU,61.95,159.2333,11.05,74,94,11.03
166,Coihaique,CL,-45.5752,-72.0662,58.95,23,0,12.66
167,Mamaku,NZ,-38.1,176.0833,63.39,99,100,7.4
168,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,11.99
169,Port Macquarie,AU,-31.4333,152.9167,64.36,88,75,3.44
170,Leshukonskoye,RU,64.8989,45.7622,32.72,100,100,4.36
171,Richards Bay,ZA,-28.783,32.0377,61.97,84,48,6.8
172,Maumere,ID,-8.6199,122.2111,81.73,76,100,2.35
173,Chumikan,RU,54.7183,135.315,17.87,81,9,10.78
174,Beloha,MG,-25.1667,45.05,67.01,86,60,11.25
175,Qaanaaq,GL,77.484,-69.3632,2.21,54,0,7.85
176,Ponta Delgada,PT,37.7333,-25.6667,74.5,94,75,12.66
177,Chuy,UY,-33.6971,-53.4616,65.32,88,54,12.35
178,Chokurdakh,RU,70.6333,147.9167,1.96,97,99,6.58
179,Muncie,US,40.1934,-85.3864,53.74,92,100,4.0
180,Singleton,AU,-32.5667,151.1833,66.49,58,80,5.95
181,Cherskiy,RU,68.75,161.3,-0.2,98,100,5.86
182,Samarai,PG,-10.6167,150.6667,83.28,78,99,13.8
183,Esperance,AU,-33.8667,121.9,55.24,56,11,13.94
184,Nha Trang,VN,12.25,109.1833,75.2,89,97,5.21
185,Viedma,AR,-40.8135,-62.9967,50.43,70,89,21.94
186,Paita,PE,-5.0892,-81.1144,66.76,81,15,14.45
187,Sao Filipe,CV,14.8961,-24.4956,79.99,75,84,13.11
188,Hasaki,JP,35.7333,140.8333,54.0,66,85,8.75
189,Boyolangu,ID,-8.1181,111.8935,77.67,87,100,1.34
190,Ushtobe,KZ,45.2514,77.9838,47.93,70,100,5.08
191,Longyearbyen,SJ,78.2186,15.6401,24.64,68,40,3.44
192,Benguela,AO,-12.5763,13.4055,75.02,76,100,7.72
193,Misratah,LY,32.3754,15.0925,72.0,63,100,13.51
194,Berndorf,AT,47.9457,16.1097,47.55,72,5,2.95
195,Jumla,NP,29.2747,82.1838,42.03,76,2,4.32
196,Oistins,BB,13.0667,-59.5333,80.69,74,20,13.8
197,Takoradi,GH,4.8845,-1.7554,78.24,87,92,8.75
198,Bandarbeyla,SO,9.4942,50.8122,78.66,77,60,10.96
199,Port Keats,AU,-14.25,129.55,87.1,59,81,2.33
200,Belaya Gora,RU,68.5333,146.4167,0.68,98,100,3.67
201,Rochegda,RU,62.8,43.25,41.32,94,100,6.46
202,Cabo San Lucas,MX,22.8909,-109.9124,88.52,71,20,11.99
203,Abu Samrah,SY,35.3029,37.1841,65.64,50,51,5.35
204,Port Hardy,CA,50.6996,-127.4199,46.58,71,20,3.44
205,Bilma,NE,18.6853,12.9164,80.78,26,44,17.76
206,Naryan-Mar,RU,67.6713,53.087,17.42,92,100,13.49
207,Zhanaozen,KZ,43.3,52.8,45.64,67,0,4.81
208,Znin,PL,52.8496,17.7199,51.33,57,10,13.65
209,Talnakh,RU,69.4865,88.3972,12.16,96,100,4.81
