City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
217,217,Sayaxche,GT,16.5167,-90.1667,82.9,52,18,1.81,Hotel y Auto Hotel Arizona
218,218,Barinas,VE,8.6226,-70.2075,87.49,58,84,4.29,Hotel Mastranto Suite
223,223,Sao Filipe,CV,14.8961,-24.4956,80.38,71,96,10.69,Hotel Xaguate
229,229,Alyangula,AU,-13.8483,136.4192,76.87,100,40,0.0,Groote Eylandt Lodge
235,235,Puerto Carreno,CO,6.189,-67.4859,83.62,68,100,1.39,Casa Hotel Victoria
242,242,Srandakan,ID,-7.9386,110.2506,77.49,91,100,3.42,Puri Brata
246,246,Gat,IL,31.61,34.7642,83.08,34,38,17.69,OlusHome
247,247,Monrovia,LR,6.3005,-10.7969,82.17,85,59,7.54,Sunset Inn
251,251,Denpasar,ID,-8.65,115.2167,78.46,94,75,4.61,ASTON Denpasar Hotel & Convention Center
253,253,Santa Elena,EC,-2.2333,-80.85,76.55,73,40,9.22,HOTEL CISNE II
256,256,Kihei,US,20.785,-156.4656,79.84,68,1,0.0,Maui Sunset
260,260,Mount Isa,AU,-20.7333,139.5,78.57,19,66,5.75,ibis Styles Mt Isa Verona
266,266,Marrakesh,MA,31.6315,-8.0083,78.87,27,0,5.75,Novotel Marrakech Hivernage
269,269,Dwarka,IN,22.2394,68.9678,80.56,54,12,8.75,Hotel Narayan Avezika Comfort
272,272,Mwandiga,TZ,-4.83,29.6581,75.88,73,94,1.66,One Point
273,273,Finschhafen,PG,-6.6024,147.8681,78.93,82,100,8.68,Cossam Guest House
275,275,San Pedro Del Parana,PY,-26.8333,-56.2,87.55,40,1,3.22,Hotel Oasis
281,281,Bonito,BR,-21.1211,-56.4819,88.11,45,52,3.02,Marruá Hotel
282,282,Bosaso,SO,11.2842,49.1816,82.31,68,47,10.89,Red Sea Hotel
283,283,The Valley,AI,18.217,-63.0578,87.66,65,20,12.66,CeBlue Villas & Beach Resort
284,284,Acapulco,MX,16.8634,-99.8901,85.82,70,75,5.75,HS Hotsson Smart Acapulco
287,287,Taoudenni,ML,22.6783,-3.9836,88.99,15,0,8.55,
291,291,Port Blair,IN,11.6667,92.75,80.91,80,96,0.49,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
293,293,Mineral Wells,US,32.8085,-98.1128,81.21,38,1,0.0,Budget Host Inn
295,295,Bilma,NE,18.6853,12.9164,85.62,18,0,11.18,Expeditions Ténére voyages
307,307,Saint George,US,37.1041,-113.5841,77.47,37,35,1.01,Best Western Plus Abbey Inn
308,308,Eagle Pass,US,28.7091,-100.4995,83.71,45,0,14.52,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
315,315,Kilindoni,TZ,-7.9139,39.6668,80.62,75,3,12.73,Bustani B&B
321,321,Bhadra,IN,29.1167,75.1667,76.95,21,0,6.49,Hotel Ganpati
322,322,Bhanvad,IN,21.9264,69.7736,77.07,29,6,7.02,Mahalaxmi farshan
324,324,Sinnamary,GF,5.3833,-52.95,81.55,79,97,8.1,ALETHEIA Appartement Sinnamary
326,326,Asyut,EG,27.181,31.1837,81.54,32,24,7.18,Florence Hotel Assiut
327,327,Manati,PR,18.4275,-66.4921,89.15,75,20,10.76,Manati World Point Inn
328,328,Itacare,BR,-14.2775,-38.9967,84.09,65,20,7.05,Ecoporan Hotel Charme Spa & Eventos
332,332,Pitimbu,BR,-7.4706,-34.8086,84.79,65,51,11.72,Reserva do Abiaí
341,341,Victoria,HK,22.2855,114.1577,76.32,82,82,3.0,Mini Hotel Central
342,342,Tarakan,ID,3.3,117.6333,76.5,94,40,3.44,RedDoorz Syariah near Taman Berlabuh Tarakan
345,345,Pimentel,PE,-6.8367,-79.9342,75.49,57,0,16.11,Casona Del Muelle
347,347,Pedro Ii,BR,-4.4247,-41.4586,82.22,51,86,2.64,Opala Hotel
348,348,Port Moresby,PG,-9.4431,147.1797,76.55,88,73,2.35,Lamana Hotel (Port Moresby)
350,350,Bacungan,PH,9.9106,118.7022,78.73,84,88,3.22,Sumayang Property
354,354,Atambua,ID,-9.1061,124.8925,75.76,84,70,1.43,Pastori 1 Jemaat Polycarpus
359,359,Morondava,MG,-20.2833,44.2833,75.0,76,1,11.32,La Case Bambou
361,361,Ca Mau,VN,9.1769,105.15,77.05,92,88,4.56,Khách Sạn Mường Thanh Luxury Cà Mau
367,367,Kimbe,PG,-5.5502,150.1429,75.96,91,96,4.09,Kimbe Bay Hotel
370,370,Mana,GF,5.6592,-53.7767,83.46,69,75,8.14,LE SAMANA
371,371,Qeshm,IR,26.9581,56.2719,78.69,48,1,10.42,Qeshm Kavan Hotel
372,372,Buala,SB,-8.145,159.5921,79.83,80,100,3.98,Maringe Lagoon Lodge
374,374,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,5.75,Osprey Beach Hotel
376,376,Akyab,MM,20.15,92.9,78.87,79,65,5.53,Hotel Memory
378,378,Manavalakurichi,IN,8.1333,77.3,78.89,85,100,3.38,Udaya Boys Hostel
380,380,Kupang,ID,-10.1667,123.5833,79.54,84,43,4.83,Hotel On The Rock by Prasanthi
381,381,Vega De Alatorre,MX,20.0333,-96.6333,81.52,68,14,9.64,El Polo Norte
387,387,Bull Savanna,JM,17.8868,-77.5902,81.81,72,22,10.92,Big Red's
389,389,Oranjestad,AW,12.524,-70.027,84.15,70,40,13.8,Divi Village Golf & Beach Resort
390,390,Oussouye,SN,12.485,-16.5469,89.78,60,51,6.93,Auberge du Routard
392,392,Puerto Leguizamo,CO,-0.1934,-74.7819,79.03,78,100,2.26,la casona de juancho
397,397,Lazaro Cardenas,MX,17.9583,-102.2,84.7,66,54,3.6,quinta antigua
398,398,Cairns,AU,-16.9167,145.7667,78.75,89,40,8.05,Mantra Trilogy Cairns
399,399,Thiruvananthapuram,IN,8.4833,76.9167,78.78,94,90,3.44,Hotel Residency Tower
400,400,Manuk Mangkaw,PH,4.8,119.85,82.56,75,100,1.5,
407,407,Gambissara,SN,13.2382,-14.3108,89.22,37,50,4.88,
416,416,Sechura,PE,-5.5569,-80.8222,76.98,54,34,15.68,Hospedaje Costa Bella
417,417,Turbat,PK,26.0023,63.044,81.9,15,0,23.87,Mubashar Quarters
418,418,Kalabo,ZM,-14.97,22.6814,79.2,42,100,3.96,Sikakubete Guest House Kalabo Town Council
420,420,San Buenaventura,MX,27.0833,-101.5333,87.48,18,0,6.38,Hotel Gran Plaza
422,422,Metro,ID,-5.1131,105.3067,76.48,89,100,3.09,OYO 3177 Wisma Lintang
424,424,Canazas,PA,8.3167,-81.2167,80.1,83,100,4.14,HACIENDA LOS DIAZ
430,430,Arica,CL,-18.475,-70.3042,78.35,68,0,14.97,Hostal Jardin Del Sol
432,432,Puerto Asis,CO,0.5133,-76.5007,88.36,92,89,2.44,Ayawaska Hostal
433,433,Sucila,MX,21.15,-88.3167,86.22,38,42,5.66,POSADA YAMI’YA
438,438,Korhogo,CI,9.45,-5.6333,78.22,63,94,4.05,Hôtel Tchinbota
443,443,Derac,HT,19.65,-71.8167,86.63,57,100,10.07,Le Marien Hotels & Resorts
444,444,Maravilha,BR,-26.7608,-53.1725,79.61,66,3,4.7,Maravilha Palace Hotel
447,447,Ewa Beach,US,21.3156,-158.0072,77.68,71,20,0.0,Uncle Junior Robert
454,454,Padang,ID,-0.9492,100.3543,75.79,93,100,4.38,Mercure Padang
456,456,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,100,13.38,Pousada Porto De Canoas
457,457,Nikki,BJ,9.9401,3.2108,78.58,35,88,3.42,Hotel John
460,460,Nanakuli,US,21.3906,-158.1547,77.7,78,1,3.44,Camp Pālehua
463,463,Mayumba,GA,-3.432,10.6554,77.41,86,100,6.11,LIKWALE LODGE
475,475,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,0.0,Aldea del Bazar Hotel and Spa
480,480,Wagar,SD,16.1525,36.2032,85.73,46,47,17.81,
485,485,Nizwa,OM,22.9333,57.5333,80.17,23,2,6.13,Orient Apartments
491,491,Vallenar,CL,-28.5708,-70.7581,81.54,21,77,13.02,Humacao Bed & Breakfast
492,492,Touros,BR,-5.1989,-35.4608,85.1,68,47,15.61,INN NEW HORIZON
494,494,Pandan,PH,14.0453,124.1694,79.88,76,96,12.8,Bonifacio Lodge
500,500,Mozarlandia,BR,-14.7447,-50.5706,88.38,48,78,8.95,Hotel Santa Mônica
506,506,Faanui,PF,-16.4833,-151.75,78.6,69,98,15.1,Bora-Bora Pearl Beach Resort & Spa
511,511,Birao,CF,10.2849,22.7882,81.37,35,80,5.21,
512,512,Kahului,US,20.8947,-156.47,79.84,67,1,0.0,Maui Seaside Hotel
513,513,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,69,67,3.71,Hospedaje El Chino
519,519,Andros Town,BS,24.7,-77.7667,84.16,53,97,9.26,Hanks place
525,525,Ugoofaaru,MV,5.6667,73.0,81.75,80,100,14.88,Ungoofaaru Inn
526,526,Iraray,PH,8.9936,118.0511,78.22,84,100,6.49,
534,534,Durazno,UY,-33.4131,-56.5006,78.26,63,40,9.35,Hotel Santa Cristina
536,536,Oriximina,BR,-1.7656,-55.8661,89.67,52,97,3.94,Pousada Tia Amélia
538,538,Maumere,ID,-8.6199,122.2111,80.06,79,94,1.28,Sylvia Hotel
540,540,Narathiwat,TH,6.3333,101.75,76.82,93,100,2.84,MUSOR
542,542,Sohag,EG,26.557,31.6948,80.89,33,24,7.49,Civil Registry - Sohag 1
547,547,Maceio,BR,-9.6658,-35.7353,87.24,62,20,13.8,Poutur Pousada
557,557,Gayeri,BF,12.6497,0.4931,88.2,14,38,9.22,
558,558,Kaduqli,SD,11.0167,29.7167,85.28,43,100,4.72,فندق الله جابو
561,561,Inirida,CO,3.8653,-67.9239,79.66,92,100,3.22,Fuente del Guania Hotel de Lujo
564,564,Santa Marta,CO,11.2408,-74.199,81.03,78,97,7.0,Casa de Isabella
565,565,Kavaratti,IN,10.5669,72.642,81.46,79,100,3.65,Hotels in Lakshadweep Islands
567,567,Maningrida,AU,-12.0667,134.2667,77.94,85,16,4.74,Dhukurrdji Lodge
568,568,Ishigaki,JP,24.3448,124.1572,76.93,66,31,16.4,Hotel Peace Land Ishigakijima
569,569,Kudahuvadhoo,MV,2.6708,72.8944,82.89,76,27,17.76,Niyama Private Islands Maldives
572,572,Edd,ER,13.9297,41.6925,87.37,56,36,19.33,
573,573,Conceicao Da Barra,BR,-18.5933,-39.7322,77.63,77,93,10.0,Cricaré Praia Hotel
574,574,Tual,ID,-5.6667,132.75,83.77,74,100,13.15,Grand Vilia Hotel
580,580,Olinda,BR,-8.0089,-34.8553,82.13,74,75,5.75,Hotel Albergue de Olinda
586,586,Hambantota,LK,6.1241,81.1185,78.57,86,47,2.86,Bungalow 63
588,588,Bima,ID,-8.4667,118.7167,78.21,90,42,0.29,Lambitu Hotel
589,589,Mabaruma,GY,8.2,-59.7833,86.0,79,40,9.22,Monty Brooms Guest House
590,590,Dakoro,NE,14.5106,6.765,88.54,13,34,9.95,Shagon mai liverpool
593,593,Lumut,MY,4.2323,100.6298,79.16,89,20,0.0,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
595,595,Escuinapa,MX,22.85,-105.8,86.81,55,0,5.28,""" Hotel IQ "" de Escuinapa"
596,596,Port-Gentil,GA,-0.7193,8.7815,78.76,89,75,14.97,Fengshui Residence
610,610,Guacara,VE,10.2261,-67.877,80.49,71,87,4.36,Hotel La Lucitaria
617,617,Belmonte,BR,-15.8631,-38.8828,84.2,67,66,8.66,Pousada Monte Carmelo O Pão
621,621,Elat,IL,29.5581,34.9482,78.64,50,13,4.61,Club Hotel Eilat
623,623,Maitum,PH,6.0392,124.4986,76.8,84,65,4.47,Pearl Garden
624,624,Mundo Nuevo,MX,18.7,-95.5,79.07,67,30,4.9,
625,625,Nova Londrina,BR,-22.7658,-52.985,77.86,67,12,9.37,HOTEL FELICE
626,626,Gogrial,SS,8.5332,28.1004,80.19,57,41,3.89,
633,633,Kudat,MY,6.8837,116.8477,78.73,94,20,0.0,Dream Garden Hotel
634,634,Canavieiras,BR,-15.675,-38.9472,84.16,66,46,7.25,Bahiadomizil
