City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Esperance,AU,-33.8667,121.9,64.83,54,100,16.96
93,Thompson,CA,55.7435,-97.8558,33.96,80,75,9.22
94,Katsuura,JP,35.1333,140.3,61.11,92,90,10.13
95,Cape Town,ZA,-33.9258,18.4232,66.09,68,20,5.75
96,Caravelas,BR,-17.7125,-39.2481,80.71,65,67,9.98
97,Hay River,CA,60.8156,-115.7999,30.18,74,20,9.22
98,Marawi,PH,7.9986,124.2928,65.64,94,100,0.16
99,Ambulu,ID,-8.345,113.6058,76.28,92,100,2.13
100,Bowen,AU,-20.0167,148.2333,78.4,81,68,16.08
101,Bluff,NZ,-46.6,168.3333,47.21,77,86,17.74
102,San Policarpo,PH,12.1791,125.5072,80.04,81,81,10.67
103,Wawa,NG,9.9022,4.4192,81.5,42,56,1.25
104,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,8.05
105,Lorengau,PG,-2.0226,147.2712,80.92,79,99,10.31
106,Busselton,AU,-33.65,115.3333,51.04,84,97,17.13
107,Baykit,RU,61.67,96.37,19.27,97,100,2.39
108,Muroto,JP,33.2833,134.15,65.48,68,10,6.6
109,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,100.27,22,13,5.44
110,Bengkulu,ID,-3.8004,102.2655,76.95,88,100,3.33
111,Tuatapere,NZ,-46.1333,167.6833,40.64,83,54,5.64
112,Severobaykalsk,RU,55.65,109.3167,24.85,90,98,4.59
113,Carnarvon,AU,-24.8667,113.6333,68.07,68,90,20.71
114,Jamestown,US,42.097,-79.2353,54.01,91,90,3.0
115,Dudinka,RU,69.4058,86.1778,-14.57,100,88,5.19
116,Atuona,PF,-9.8,-139.0333,79.45,75,78,18.03
117,Albany,US,42.6001,-73.9662,60.46,78,99,11.88
118,Hilo,US,19.7297,-155.09,78.24,73,1,5.75
119,Yellowknife,CA,62.456,-114.3525,30.42,100,75,8.05
120,Fare,PF,-16.7,-151.0167,78.21,74,86,14.97
121,Pangody,RU,65.85,74.4859,1.62,98,92,8.88
122,Matagami,CA,49.7502,-77.6328,46.51,87,90,8.05
123,Geraldton,AU,-28.7667,114.6,62.13,77,40,8.05
124,Xining,CN,36.6167,101.7667,37.65,70,87,0.69
125,Petropavl,KZ,54.8753,69.1628,27.81,83,100,7.16
126,Castro,BR,-24.7911,-50.0119,60.48,96,100,7.29
127,Pechenga,RU,69.5259,31.1703,27.46,88,84,6.91
128,Vila Velha,BR,-20.3297,-40.2925,76.95,78,90,12.66
129,Norsup,VU,-16.0667,167.3833,77.18,79,20,6.87
130,Praia,CV,14.9215,-23.5087,75.74,94,90,12.66
131,Beira,MZ,-19.8436,34.8389,75.29,73,20,9.22
132,Saint-Augustin,CA,51.226,-58.6502,49.62,59,90,6.29
133,Provideniya,RU,64.3833,-173.3,11.97,80,68,8.46
134,Kodiak,US,57.79,-152.4072,45.91,87,90,14.97
135,Kapaa,US,22.0752,-159.319,75.18,92,1,5.75
136,Karasburg,NA,-28.0167,18.75,68.95,45,5,24.92
137,Yanam,IN,16.7333,82.2167,77.9,87,51,4.88
138,At-Bashi,KG,41.1702,75.8106,28.44,69,70,1.83
139,Chuy,UY,-33.6971,-53.4616,74.7,71,80,10.63
140,Gedo,ET,9.0167,37.45,50.68,72,57,4.92
141,Moron,AR,-34.6534,-58.6198,68.02,77,100,7.85
142,Madison,US,34.7334,-86.5667,66.0,66,75,1.01
143,Mahanoro,MG,-19.9,48.8,73.17,89,16,7.09
144,Bandarbeyla,SO,9.4942,50.8122,79.54,77,27,13.33
145,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,13.8
146,Saldanha,ZA,-33.0117,17.9442,64.45,82,99,7.47
147,Henties Bay,NA,-22.116,14.2845,60.85,85,0,9.33
148,Ust-Maya,RU,60.4167,134.5333,6.64,89,100,4.56
149,Kitui,KE,-1.367,38.0106,72.7,55,81,5.21
150,Qaanaaq,GL,77.484,-69.3632,10.44,64,100,9.86
151,Namatanai,PG,-3.6667,152.4333,78.98,83,98,7.58
